StudyHours,Attendance,AssignmentCompletion,MidtermScore,FinalScore,Extracurricular,Internet,Gender,Age,StressLevel,IncomeLevel,ParentEducation,Participation,SleepHours,Department,Quizzes_Avg,Projects_Score,Total_Score,FinalGrade,at_risk,source
6.2,52.29,84.22,55.03,57.82,0,1,1,22,1,1,0,3.99,4.7,2.0,74.06,85.9,56.09,0,1,dataset1
19.0,97.27,74.81,97.23,45.8,0,1,0,18,1,1,4,8.32,9.0,2.0,94.24,55.65,50.64,3,0,dataset1
20.7,57.19,67.7,67.05,93.68,0,1,0,24,1,0,3,5.05,6.2,0.0,85.7,73.79,70.3,0,1,dataset1
24.8,95.15,66.06,47.79,80.63,1,1,1,24,0,2,0,6.54,6.7,1.0,93.51,92.12,61.63,3,0,dataset1
15.4,54.18,96.85,46.59,78.89,1,1,1,23,0,2,0,5.97,7.1,,83.7,68.42,66.13,0,1,dataset1
8.5,75.725,71.4,78.85,43.53,1,1,0,21,0,2,4,6.38,5.0,2.0,52.2,67.29,62.08,2,0,dataset1
21.3,57.6,84.52,66.26,89.07,0,1,0,24,1,0,4,2.3,6.4,0.0,98.4,93.65,83.21,0,1,dataset1
27.3,51.91,80.12,45.67,73.96,1,0,0,19,1,1,4,3.73,4.3,2.0,95.9,93.24,81.93,0,1,dataset1
8.0,85.97,57.05,84.42,90.87,0,0,1,21,2,0,2,0.51,8.8,,56.33,94.01,95.62,3,0,dataset1
9.6,64.01,96.98,87.96,98.47,0,1,1,22,2,1,4,5.88,6.4,2.0,55.63,78.6,84.99,3,0,dataset1
13.2,85.72,67.29,83.52,97.43,0,1,1,23,0,0,0,4.59,4.1,,76.95,97.62,58.25,3,0,dataset1
21.3,77.75,52.24,52.14,91.37,0,1,1,20,2,0,3,7.61,7.0,2.0,87.85,90.95,87.58,1,0,dataset1
18.1,55.44,65.02,81.39,40.66,0,1,0,21,2,2,3,2.06,4.5,2.0,69.11,70.78,59.06,0,1,dataset1
22.8,96.61,66.78,40.64,93.14,0,1,0,18,2,1,4,4.37,7.9,0.0,56.82,81.48,77.93,3,0,dataset1
5.8,72.62,54.64,58.31,44.5,0,1,0,19,1,0,4,1.81,8.8,2.0,75.53,56.09,53.85,2,0,dataset1
25.3,86.72,81.0,63.93,91.07,0,1,0,18,0,2,4,6.14,8.6,,66.88,77.57,52.37,3,0,dataset1
29.7,75.05,67.34,90.11,56.81,0,1,1,21,0,0,4,8.48,6.1,,67.59,63.16,73.21,0,1,dataset1
6.2,80.22,81.46,63.42,76.6,0,0,1,23,2,1,4,7.65,7.6,0.0,82.25,64.18,55.25,0,1,dataset1
17.4,65.14,50.34,40.68,42.28,0,1,0,20,2,1,4,9.44,4.8,,94.28,56.29,65.33,2,0,dataset1
23.5,60.02,99.1,61.14,86.27,1,1,0,20,2,0,4,9.72,4.4,2.0,77.93,67.91,66.94,0,1,dataset1
16.9,77.13,74.81,69.94,46.7,0,1,0,18,0,1,0,7.72,8.1,,84.38,74.07,88.47,0,1,dataset1
19.8,72.01,82.97,96.94,64.64,0,1,0,22,2,0,4,2.87,7.5,0.0,83.0,80.02,66.63,1,0,dataset1
28.0,69.51,85.79,96.46,89.05,1,1,0,22,2,0,4,2.19,8.5,2.0,77.56,65.24,74.72,1,0,dataset1
18.5,83.63,58.58,50.85,81.72,0,1,1,23,0,0,3,4.48,8.6,,65.54,89.61,88.63,0,1,dataset1
